"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 28 18:57:20 GMT 2025","Sun Sep 28 18:57:22 GMT 2025","2250","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Sep 28 18:57:22 GMT 2025","Sun Sep 28 18:57:24 GMT 2025","1531","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Sep 28 18:57:13 GMT 2025","Sun Sep 28 18:57:14 GMT 2025","1619","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 28 18:57:16 GMT 2025","Sun Sep 28 18:57:18 GMT 2025","1577","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Sep 28 18:57:10 GMT 2025","Sun Sep 28 18:57:13 GMT 2025","2833","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Sep 28 18:57:12 GMT 2025","Sun Sep 28 18:57:13 GMT 2025","1844","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Sep 28 18:57:10 GMT 2025","Sun Sep 28 18:57:11 GMT 2025","1582","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Sep 28 18:57:17 GMT 2025","Sun Sep 28 18:57:19 GMT 2025","2066","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Sep 28 18:57:15 GMT 2025","Sun Sep 28 18:57:17 GMT 2025","1384","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Sep 28 18:57:15 GMT 2025","Sun Sep 28 18:57:16 GMT 2025","1480","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
